group_id;name;graphviz_color;graphviz_default_x
5;before savings;#FF0000;
6;savings;#FFA500;
7;useful consumption;#FFD700;
8;preferred technologies;#92B940;
9;technology groups;#ADD8E6;
11;technologies;#4169E1;
12;local mixer;#800080;
13;application;#D87093;
14;final consumption;#FF0000;
15;locally available;#FFA500;
16;local heat generation;#FFD700;
17;local CHPs;#92B940;
18;local power generation;#ADD8E6;
19;subdistribution 3;#4169E1;
20;subdistribution 2;#800080;
21;subdistribution 1;#D87093;
22;distribution;#FF0000;
23;refinery;#FFA500;
24;central heat generation;#FFD700;
25;central CHPs;#92B940;
26;central power generation;#ADD8E6;
27;carrier mixing;#4169E1;
28;distribution primary carriers;#800080;
29;treatment;#D87093;
30;storage;#FF0000;
31;primary consumption;#FFA500;
32;export;#FFD700;
33;growth and production;#92B940;
34;extraction;#ADD8E6;
35;import;#4169E1;
36;foreign production;#800080;
37;environment;#D87093;
38;undefined;#000000;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
