id;title;key
1;Primary energy demand;primary_energy_demand
2;Final demand CBS;final_demand_cbs
3;Useful demand;useful_demand
4;Sustainable production;sustainable_production
5;Energy import and export;energy_import_export
6;Mining & extraction;mining_and_extraction
7;Electricity production;electricity_production
8;Heat & cold production;heat_production
9;Decentral Production;decentral_production
10;Central Production;central_production
11;Non energetic use;non_energetic_use
12;Time curves;time_curves
13;bio_footprint_calculation;bio_footprint_calculation
14;Transport fuels;transport_fuels
15;Final demand electricity;final_demand_electricity
16;Energy export;energy_export
17;network converters;network_converters
18;Cost other;cost_other
19;Cost electricity production;cost_electricity_production
20;Cost traditional heat;cost_traditional_heat
21;Cost heat pumps;cost_heat_pumps
22;Cost chps;cost_chps
23;Energy import;energy_import
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
