carrier_id;key
1;loss
2;hot_water
3;crude_oil
4;steam_hot_water
5;electricity
6;solar_radiation
7;ambient_heat
8;ambient_cold
9;natural_gas
10;useable_heat
11;biomass
13;greengas
14;coal
15;gasoline
16;diesel
17;lpg
18;biodiesel
19;bio_ethanol
20;kerosine
21;waste_mix
22;uranium_oxide
23;wind
24;bio_oil
25;water
26;low_caloric_gas
27;high_caloric_gas
28;lng
29;cooling
30;car_kms
31;truck_kms
32;light
33;algae_diesel
34;biogas
35;lignite
37;imported_electricity
38;compressed_network_gas
40;gas_power_fuelmix
41;not_defined
42;savings
53;torrified_biomass_pellets
54;imported_steam_hot_water
55;wood_pellets
56;corn
57;manure
58;wood
59;biogenic_waste
60;non_biogenic_waste
61;solar_thermal
62;bio_residues_for_firing
63;bio_residues_for_digestion
64;bio_residues_for_ethanol
65;bio_residues_for_diesel
66;network_gas
67;geothermal
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
